latitude,longitude,rainfall_mm_hr,reliability_flag
20.85,80.65,1.31718,0
20.95,80.65,0.1730494,0
21.05,80.65,0.24484943,0
21.15,80.65,0.21355593,0
21.25,80.65,0.0,0
21.35,80.65,0.0,0
21.45,80.65,0.0,0
21.55,80.65,0.0,0
21.65,80.65,0.0,0
21.75,80.65,0.0,0
21.85,80.65,0.0,0
21.95,80.65,0.0,0
22.05,80.65,0.0,0
22.15,80.65,0.0,0
22.25,80.65,0.0,0
22.35,80.65,0.0,0
22.45,80.65,0.0,0
22.55,80.65,0.0,0
22.65,80.65,0.0,0
22.75,80.65,0.0,0
17.55,80.75,0.0,0
17.65,80.75,0.0,0
17.75,80.75,0.0,0
17.85,80.75,0.0,0
17.95,80.75,0.0,0
18.05,80.75,0.0,0
18.15,80.75,0.0,0
18.25,80.75,0.0,0
18.35,80.75,0.0,0
18.45,80.75,0.0,0
18.55,80.75,0.0,0
18.65,80.75,0.0,0
18.75,80.75,0.0,0
18.85,80.75,0.0,0
18.95,80.75,0.0,0
19.05,80.75,1.5227635,0
19.15,80.75,1.9964607,0
19.25,80.75,2.539964,0
19.35,80.75,3.7207277,0
19.45,80.75,3.922044,0
19.55,80.75,3.5451872,0
19.65,80.75,1.7428974,0
19.75,80.75,1.0131012,0
19.85,80.75,0.81387883,0
19.95,80.75,0.0,0
20.05,80.75,0.0,0
20.15,80.75,0.0,0
20.25,80.75,0.0,0
20.35,80.75,0.08640138,0
20.45,80.75,0.34483966,0
20.55,80.75,0.6724209,0
20.65,80.75,1.4527148,0
20.75,80.75,1.6728203,0
20.85,80.75,0.3688189,0
20.95,80.75,0.30114236,0
21.05,80.75,0.22141767,0
21.15,80.75,0.0,0
21.25,80.75,0.0,0
21.35,80.75,0.0,0
21.45,80.75,0.0,0
21.55,80.75,0.0,0
21.65,80.75,0.0,0
21.75,80.75,0.0,0
21.85,80.75,0.0,0
21.95,80.75,0.0,0
22.05,80.75,0.0,0
22.15,80.75,0.0,0
22.25,80.75,0.0,0
22.35,80.75,0.0,0
22.45,80.75,0.0,0
22.55,80.75,0.0,0
22.65,80.75,0.0,0
22.75,80.75,0.0,0
17.55,80.85,0.0,0
17.65,80.85,0.0,0
17.75,80.85,0.0,0
17.85,80.85,0.0,0
17.95,80.85,0.0,0
18.05,80.85,0.0,0
18.15,80.85,0.0,0
18.25,80.85,0.0,0
18.35,80.85,0.0,0
18.45,80.85,0.0,0
18.55,80.85,0.0,0
18.65,80.85,0.0,0
18.75,80.85,0.0,0
18.85,80.85,0.0,0
18.95,80.85,0.0,0
19.05,80.85,0.0,0
19.15,80.85,1.1745095,0
19.25,80.85,1.4541993,0
19.35,80.85,2.3764489,0
19.45,80.85,2.8394277,0
19.55,80.85,2.8025296,0
19.65,80.85,1.3849332,0
19.75,80.85,0.6020778,0
19.85,80.85,0.52603686,0
19.95,80.85,0.0,0
20.05,80.85,0.0,0
20.15,80.85,0.0,0
20.25,80.85,0.0,0
20.35,80.85,0.0,0
20.45,80.85,0.30010256,0
20.55,80.85,0.3512906,0
20.65,80.85,0.6207224,0
20.75,80.85,0.1906684,0
20.85,80.85,0.28349173,0
20.95,80.85,0.31573194,0
21.05,80.85,0.24628867,0
21.15,80.85,0.0,0
21.25,80.85,0.0,0
21.35,80.85,0.0,0
21.45,80.85,0.0,0
21.55,80.85,0.0,0
21.65,80.85,0.0,0
21.75,80.85,0.0,0
21.85,80.85,0.0,0
21.95,80.85,0.0,0
22.05,80.85,0.0,0
22.15,80.85,0.0,0
22.25,80.85,0.0,0
22.35,80.85,0.0,0
22.45,80.85,0.0,0
22.55,80.85,0.0,0
22.65,80.85,0.0,0
22.75,80.85,0.0,0
17.55,80.95,0.0,0
17.65,80.95,0.0,0
17.75,80.95,0.0,0
17.85,80.95,0.0,0
17.95,80.95,0.0,0
18.05,80.95,0.0,0
18.15,80.95,0.0,0
18.25,80.95,0.0,0
18.35,80.95,0.0,0
18.45,80.95,0.0,0
18.55,80.95,0.0,0
18.65,80.95,0.0,0
18.75,80.95,0.0,0
18.85,80.95,0.0,0
18.95,80.95,0.0,0
19.05,80.95,0.0,0
19.15,80.95,0.0,0
19.25,80.95,0.0,0
19.35,80.95,0.9088362,0
19.45,80.95,1.2133497,0
19.55,80.95,1.3020307,0
19.65,80.95,1.0091115,0
19.75,80.95,0.5777029,0
19.85,80.95,0.6289826,0
19.95,80.95,0.0,0
20.05,80.95,0.0,0
20.15,80.95,0.0,0
20.25,80.95,0.0,0
20.35,80.95,0.0,0
20.45,80.95,0.32083675,0
20.55,80.95,0.2976907,0
20.65,80.95,0.27452123,0
20.75,80.95,0.0,0
20.85,80.95,0.0,0
20.95,80.95,0.12153356,0
21.05,80.95,0.0,0
21.15,80.95,0.0,0
21.25,80.95,0.0,0
21.35,80.95,0.0,0
21.45,80.95,0.0,0
21.55,80.95,0.0,0
21.65,80.95,0.0,0
21.75,80.95,0.0,0
21.85,80.95,0.0,0
21.95,80.95,0.0,0
22.05,80.95,0.0,0
22.15,80.95,0.0,0
22.25,80.95,0.0,0
22.35,80.95,0.0,0
22.45,80.95,0.0,0
22.55,80.95,0.0,0
22.65,80.95,0.0,0
22.75,80.95,0.0,0
17.55,81.05,0.0,0
17.65,81.05,0.0,0
17.75,81.05,0.0,0
17.85,81.05,0.0,0
17.95,81.05,0.0,0
18.05,81.05,0.0,0
18.15,81.05,0.0,0
18.25,81.05,0.0,0
18.35,81.05,0.0,0
18.45,81.05,0.0,0
18.55,81.05,0.0,0
18.65,81.05,0.0,0
18.75,81.05,0.0,0
18.85,81.05,0.0,0
18.95,81.05,0.0,0
19.05,81.05,0.0,0
19.15,81.05,0.0,0
19.25,81.05,0.0,0
19.35,81.05,0.6124685,0
19.45,81.05,0.64201546,0
19.55,81.05,0.845468,0
19.65,81.05,0.78125715,0
19.75,81.05,0.6677948,0
19.85,81.05,0.6404408,0
19.95,81.05,0.0,0
20.05,81.05,0.0,0
20.15,81.05,0.0,0
20.25,81.05,0.0,0
20.35,81.05,0.0,0
20.45,81.05,0.0,0
20.55,81.05,0.0,0
20.65,81.05,0.0,0
20.75,81.05,0.0,0
20.85,81.05,0.0,0
20.95,81.05,0.0,0
21.05,81.05,0.0,0
21.15,81.05,0.0,0
21.25,81.05,0.0,0
21.35,81.05,0.0,0
21.45,81.05,0.0,0
21.55,81.05,0.0,0
21.65,81.05,0.0,0
21.75,81.05,0.0,0
21.85,81.05,0.0,0
21.95,81.05,0.0,0
22.05,81.05,0.0,0
22.15,81.05,0.0,0
22.25,81.05,0.0,0
22.35,81.05,0.0,0
22.45,81.05,0.0,0
22.55,81.05,0.0,0
22.65,81.05,0.0,0
22.75,81.05,0.0,0
17.55,81.15,0.0,0
17.65,81.15,0.0,0
17.75,81.15,0.0,0
17.85,81.15,0.0,0
17.95,81.15,0.0,0
18.05,81.15,0.0,0
18.15,81.15,0.0,0
18.25,81.15,0.0,0
18.35,81.15,0.0,0
18.45,81.15,0.0,0
18.55,81.15,0.0,0
18.65,81.15,0.0,0
18.75,81.15,0.0,0
18.85,81.15,0.0,0
18.95,81.15,0.0,0
19.05,81.15,0.0,0
19.15,81.15,0.0,0
19.25,81.15,0.65196526,0
19.35,81.15,0.6089506,0
19.45,81.15,0.5956273,0
19.55,81.15,0.65118665,0
19.65,81.15,0.8181607,0
19.75,81.15,0.60050476,0
19.85,81.15,0.7098074,0
19.95,81.15,0.7582457,0
20.05,81.15,0.0,0
20.15,81.15,0.0,0
20.25,81.15,0.0,0
20.35,81.15,0.0,0
20.45,81.15,0.0,0
20.55,81.15,0.0,0
20.65,81.15,0.0,0
20.75,81.15,0.0,0
20.85,81.15,0.0,0
20.95,81.15,0.0,0
21.05,81.15,0.0,0
21.15,81.15,0.0,0
21.25,81.15,0.0,0
21.35,81.15,0.0,0
21.45,81.15,0.0,0
21.55,81.15,0.0,0
21.65,81.15,0.0,0
21.75,81.15,0.0,0
21.85,81.15,0.0,0
21.95,81.15,0.0,0
22.05,81.15,0.0,0
22.15,81.15,0.0,0
22.25,81.15,0.0,0
22.35,81.15,0.0,0
22.45,81.15,0.0,0
22.55,81.15,0.0,0
22.65,81.15,0.0,0
22.75,81.15,0.0,0
17.55,81.25,0.0,0
17.65,81.25,0.0,0
17.75,81.25,0.0,0
17.85,81.25,0.0,0
17.95,81.25,0.0,0
18.05,81.25,0.0,0
18.15,81.25,0.0,0
18.25,81.25,0.0,0
18.35,81.25,0.0,0
18.45,81.25,0.0,0
18.55,81.25,0.0,0
18.65,81.25,0.0,0
18.75,81.25,0.0,0
18.85,81.25,0.0,0
18.95,81.25,0.0,0
19.05,81.25,0.0,0
19.15,81.25,0.0,0
19.25,81.25,0.0,0
19.35,81.25,0.0,0
19.45,81.25,0.5930061,0
19.55,81.25,0.7768057,0
19.65,81.25,1.1198933,0
19.75,81.25,0.80558985,0
19.85,81.25,0.617264,0
19.95,81.25,0.0,0
20.05,81.25,0.0,0
20.15,81.25,0.0,0
20.25,81.25,0.0,0
20.35,81.25,0.0,0
20.45,81.25,0.0,0
20.55,81.25,0.0,0
20.65,81.25,0.0,0
