timestamp,latitude,longitude,rainfall_mm_hr
2026-07-28,22.75,80.05,0.25659037
2026-07-28,17.55,80.15,0.0
2026-07-28,17.65,80.15,0.0
2026-07-28,17.75,80.15,0.0
2026-07-28,17.85,80.15,0.0
2026-07-28,17.95,80.15,0.0
2026-07-28,18.05,80.15,0.0
2026-07-28,18.15,80.15,0.0
2026-07-28,18.25,80.15,0.0
2026-07-28,18.35,80.15,0.0
2026-07-28,18.45,80.15,0.0
2026-07-28,18.55,80.15,0.0
2026-07-28,18.65,80.15,0.0
2026-07-28,18.75,80.15,0.0
2026-07-28,18.85,80.15,0.6260284
2026-07-28,18.95,80.15,0.7082839
2026-07-28,19.05,80.15,0.0
2026-07-28,19.15,80.15,0.0
2026-07-28,19.25,80.15,0.0
2026-07-28,19.35,80.15,1.7898848
2026-07-28,19.45,80.15,4.5385895
2026-07-28,19.55,80.15,5.739501
2026-07-28,19.65,80.15,5.689552
2026-07-28,19.75,80.15,4.8340898
2026-07-28,19.85,80.15,2.9242563
2026-07-28,19.95,80.15,1.6236869
2026-07-28,20.05,80.15,0.9949437
2026-07-28,20.15,80.15,0.5857833
2026-07-28,20.25,80.15,0.43125585
2026-07-28,20.35,80.15,0.0
2026-07-28,20.45,80.15,0.3424362
2026-07-28,20.55,80.15,0.3992792
2026-07-28,20.65,80.15,1.2802395
2026-07-28,20.75,80.15,1.4408048
2026-07-28,20.85,80.15,0.093876
2026-07-28,20.95,80.15,0.083861046
2026-07-28,21.05,80.15,0.10693221
2026-07-28,21.15,80.15,0.91154844
2026-07-28,21.25,80.15,1.8907549
2026-07-28,21.35,80.15,0.0
2026-07-28,21.45,80.15,0.0
2026-07-28,21.55,80.15,0.0
2026-07-28,21.65,80.15,0.0
2026-07-28,21.75,80.15,0.0
2026-07-28,21.85,80.15,0.0
2026-07-28,21.95,80.15,0.0
2026-07-28,22.05,80.15,0.0
2026-07-28,22.15,80.15,0.0
2026-07-28,22.25,80.15,0.0
2026-07-28,22.35,80.15,0.0
2026-07-28,22.45,80.15,0.0
2026-07-28,22.55,80.15,0.0
2026-07-28,22.65,80.15,0.0
2026-07-28,22.75,80.15,0.0
2026-07-28,17.55,80.25,0.0
2026-07-28,17.65,80.25,0.0
2026-07-28,17.75,80.25,0.0
2026-07-28,17.85,80.25,0.0
2026-07-28,17.95,80.25,0.0
2026-07-28,18.05,80.25,0.0
2026-07-28,18.15,80.25,0.0
2026-07-28,18.25,80.25,0.0
2026-07-28,18.35,80.25,0.0
2026-07-28,18.45,80.25,0.0
2026-07-28,18.55,80.25,0.0
2026-07-28,18.65,80.25,0.0
2026-07-28,18.75,80.25,0.0
2026-07-28,18.85,80.25,0.0
2026-07-28,18.95,80.25,0.0
2026-07-28,19.05,80.25,0.0
2026-07-28,19.15,80.25,1.6706654
2026-07-28,19.25,80.25,1.6168503
2026-07-28,19.35,80.25,2.5250022
2026-07-28,19.45,80.25,4.750572
2026-07-28,19.55,80.25,5.427984
2026-07-28,19.65,80.25,5.063797
2026-07-28,19.75,80.25,4.2000523
2026-07-28,19.85,80.25,2.1470766
2026-07-28,19.95,80.25,0.30983984
2026-07-28,20.05,80.25,0.17479767
2026-07-28,20.15,80.25,0.0
2026-07-28,20.25,80.25,0.0
2026-07-28,20.35,80.25,0.14785726
2026-07-28,20.45,80.25,0.0877549
2026-07-28,20.55,80.25,0.38857117
2026-07-28,20.65,80.25,1.2405508
2026-07-28,20.75,80.25,1.7616196
2026-07-28,20.85,80.25,0.44056267
2026-07-28,20.95,80.25,0.0744128
2026-07-28,21.05,80.25,0.109114274
2026-07-28,21.15,80.25,0.97569156
2026-07-28,21.25,80.25,2.1205153
2026-07-28,21.35,80.25,0.0
2026-07-28,21.45,80.25,0.0
2026-07-28,21.55,80.25,0.0
2026-07-28,21.65,80.25,0.0
2026-07-28,21.75,80.25,0.0
2026-07-28,21.85,80.25,0.0
2026-07-28,21.95,80.25,0.0
2026-07-28,22.05,80.25,0.0
2026-07-28,22.15,80.25,0.0
2026-07-28,22.25,80.25,0.0
2026-07-28,22.35,80.25,0.0
2026-07-28,22.45,80.25,0.0
2026-07-28,22.55,80.25,0.0
2026-07-28,22.65,80.25,0.0
2026-07-28,22.75,80.25,0.0
2026-07-28,17.55,80.35,0.0
2026-07-28,17.65,80.35,0.0
2026-07-28,17.75,80.35,0.0
2026-07-28,17.85,80.35,0.0
2026-07-28,17.95,80.35,0.0
2026-07-28,18.05,80.35,0.0
2026-07-28,18.15,80.35,0.0
2026-07-28,18.25,80.35,0.0
2026-07-28,18.35,80.35,0.0
2026-07-28,18.45,80.35,0.0
2026-07-28,18.55,80.35,0.0
2026-07-28,18.65,80.35,0.0
2026-07-28,18.75,80.35,0.0
2026-07-28,18.85,80.35,0.0
2026-07-28,18.95,80.35,0.0
2026-07-28,19.05,80.35,0.0
2026-07-28,19.15,80.35,2.9606223
2026-07-28,19.25,80.35,3.685952
2026-07-28,19.35,80.35,4.316168
2026-07-28,19.45,80.35,3.9366329
2026-07-28,19.55,80.35,5.073186
2026-07-28,19.65,80.35,4.415024
2026-07-28,19.75,80.35,3.611597
2026-07-28,19.85,80.35,1.5849384
2026-07-28,19.95,80.35,0.8237903
2026-07-28,20.05,80.35,0.1323484
2026-07-28,20.15,80.35,0.0
2026-07-28,20.25,80.35,0.098126486
2026-07-28,20.35,80.35,0.13601899
2026-07-28,20.45,80.35,0.6785036
2026-07-28,20.55,80.35,0.509946
2026-07-28,20.65,80.35,0.80438423
2026-07-28,20.75,80.35,1.7087599
2026-07-28,20.85,80.35,0.59498394
2026-07-28,20.95,80.35,0.09537123
2026-07-28,21.05,80.35,0.12233264
2026-07-28,21.15,80.35,0.17791365
2026-07-28,21.25,80.35,0.0
2026-07-28,21.35,80.35,0.0
2026-07-28,21.45,80.35,0.0
2026-07-28,21.55,80.35,0.0
2026-07-28,21.65,80.35,0.0
2026-07-28,21.75,80.35,0.0
2026-07-28,21.85,80.35,0.0
2026-07-28,21.95,80.35,0.0
2026-07-28,22.05,80.35,0.0
2026-07-28,22.15,80.35,0.0
2026-07-28,22.25,80.35,0.0
2026-07-28,22.35,80.35,0.0
2026-07-28,22.45,80.35,0.0
2026-07-28,22.55,80.35,0.0
2026-07-28,22.65,80.35,0.0
2026-07-28,22.75,80.35,0.0
2026-07-28,17.55,80.45,0.0
2026-07-28,17.65,80.45,0.0
2026-07-28,17.75,80.45,0.0
2026-07-28,17.85,80.45,0.0
2026-07-28,17.95,80.45,0.0
2026-07-28,18.05,80.45,0.0
2026-07-28,18.15,80.45,0.0
2026-07-28,18.25,80.45,0.0
2026-07-28,18.35,80.45,0.0
2026-07-28,18.45,80.45,0.0
2026-07-28,18.55,80.45,0.0
2026-07-28,18.65,80.45,0.0
2026-07-28,18.75,80.45,0.0
2026-07-28,18.85,80.45,0.0
2026-07-28,18.95,80.45,0.0
2026-07-28,19.05,80.45,2.6757557
2026-07-28,19.15,80.45,4.3866916
2026-07-28,19.25,80.45,4.9410505
2026-07-28,19.35,80.45,4.8309436
2026-07-28,19.45,80.45,4.71274
2026-07-28,19.55,80.45,4.163096
2026-07-28,19.65,80.45,3.8241723
2026-07-28,19.75,80.45,2.6749265
2026-07-28,19.85,80.45,1.3277993
2026-07-28,19.95,80.45,0.7534263
2026-07-28,20.05,80.45,0.14713433
2026-07-28,20.15,80.45,0.0
2026-07-28,20.25,80.45,0.08101081
2026-07-28,20.35,80.45,0.08294104
2026-07-28,20.45,80.45,0.6351954
2026-07-28,20.55,80.45,0.8938114
2026-07-28,20.65,80.45,1.0967121
2026-07-28,20.75,80.45,1.917648
2026-07-28,20.85,80.45,0.1966124
2026-07-28,20.95,80.45,0.1378712
2026-07-28,21.05,80.45,0.13660258
2026-07-28,21.15,80.45,0.1310031
2026-07-28,21.25,80.45,0.0
2026-07-28,21.35,80.45,0.0
2026-07-28,21.45,80.45,0.0
2026-07-28,21.55,80.45,0.0
2026-07-28,21.65,80.45,0.0
2026-07-28,21.75,80.45,0.0
2026-07-28,21.85,80.45,0.0
2026-07-28,21.95,80.45,0.0
2026-07-28,22.05,80.45,0.0
2026-07-28,22.15,80.45,0.0
2026-07-28,22.25,80.45,0.0
2026-07-28,22.35,80.45,0.0
2026-07-28,22.45,80.45,0.0
2026-07-28,22.55,80.45,0.0
2026-07-28,22.65,80.45,0.0
2026-07-28,22.75,80.45,0.0
2026-07-28,17.55,80.55,0.0
2026-07-28,17.65,80.55,0.0
2026-07-28,17.75,80.55,0.0
2026-07-28,17.85,80.55,0.0
2026-07-28,17.95,80.55,0.0
2026-07-28,18.05,80.55,0.0
2026-07-28,18.15,80.55,0.0
2026-07-28,18.25,80.55,0.0
2026-07-28,18.35,80.55,0.0
2026-07-28,18.45,80.55,0.0
2026-07-28,18.55,80.55,0.0
2026-07-28,18.65,80.55,0.0
2026-07-28,18.75,80.55,0.0
2026-07-28,18.85,80.55,0.0
